Rubber,Speed,Spin,Control,Tacky,Weight,Sponge Hardness,Gears,Throw Angle,Consistency,Durable,Overall,Ratings,Estimated Price
Butterfly Tenergy 05 FX,9.1,9.3,8.9,3.1,5.5,4.1,8.5,6,9.3,7.7,9.3,136,$ 75.00 
Donic Bluefire JP 03,8.7,9.1,9.3,2,5.3,3.4,7.4,5.6,9.3,6.7,9.3,50,$ 54.00 
Victas VS > 401,8,9.5,9.3,1.7,8.4,8.4,8.6,4.4,9.6,8.6,9.3,25,$ 41.00 
Stiga Magna TX,9.1,9.3,8.8,2.9,3.4,6.2,8,4.6,10,9.1,9.3,16,$ 55.00 
Butterfly Tenergy 64,9.3,8.8,8.5,2.6,5.5,5.1,8.6,5.5,9.2,8,9.3,164,$ 70.00 
Nittaku Renanos Hold,8.9,9.4,9.1,4,4.8,6,8.8,5.1,9.4,8,9.3,38,$ 40.00 
Gewo Hype KR Pro 47.5,9.4,9.4,9.1,2,5.2,6.7,7.5,4,9.4,6.7,9.3,18,$ 30.00 
Andro Rasant Powersponge,8.7,9.3,9.4,2.3,3.9,3,8.6,4.4,9.3,8.5,9.3,47,$ 53.00 
Butterfly Tenergy 05,9.3,9.4,8.4,2.4,6.6,6.2,8.8,7.5,9.3,7.9,9.3,325,$ 72.00 
Andro Hexer Powergrip SFX,8.6,9,9.1,1.6,4.4,4,8.8,5.4,9.7,8.2,9.3,24,$ 41.00 
Tibhar Aurus,9.1,9.2,9,2.2,4.7,6.2,8.7,6,9.3,7.4,9.3,38,$ 40.00 
